	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_1	n_2	n_3	n_4	n_5	n_6	t_7	t_8	t_9	t_10	t_11	t_12	n_1.1	n_2.1	n_3.1	n_4.1	n_5.1	n_6.1	t_7.1	t_8.1	t_9.1	t_10.1	t_11.1	t_12.1	Certeza	DE
TMEM223	188.759009065083	-1.67619913747004	0.42336978782676293	-3.95918458441327	7.52060962021861e-05	0.000702349323703432	135	68	205	116	135	145	124	377	629	217	14	229	104.666010781587	57.97279248207089	100.659129228223	109.797100291923	84.35062672171401	86.09389454677641	112.23213247340901	390.601592158765	613.555043889374	196.99505461407398	120.405494459253	287.779237133832	99.93	UP_t_DOWN_n
RPL38	5943.296899796121	-1.75760871845548	0.444063902594466	-3.9580085392812996	7.55772564511596e-05	0.000704857899887443	3951	3497	5375	2987	4364	3442	3102	12130	16535	4398	429	12614	3063.22524887443	2981.33610749709	2639.23326634975	2827.2753325170197	2726.71211121155	2043.6909312414102	2807.61350752029	12567.632129670601	16128.986726090301	3992.55414835345	3689.56836592998	15851.7349222976	99.93	UP_t_DOWN_n
VCAN	1405.3497250786902	-2.1906258884834	0.553543922037153	-3.95745631244844	7.575213645147909e-05	0.0007060099117277849	338	682	1013	207	1268	1184	1035	932	2396	2670	61	5287	262.05267884575	581.433006952534	497.403404430195	195.931032417484	792.271071726913	703.001180299195	936.776267015958	965.625156212119	2337.16674906032	2423.8562019335395	524.6239401438901	6644.05601190641	99.93	UP_t_DOWN_n
PDP1	588.59156052559	-1.19691457912622	0.302729864889422	-3.95373802833566	7.69396482334095e-05	0.0007156220191236	470	362	833	394	535	593	1275	364	879	555	116	821	364.392778276635	308.619865860436	409.019778766389	372.931530301877	334.278409600866	352.094341146472	1153.99974922256	377.132571739497	857.416349091828	503.835277930005	997.6455255195281	1031.73254885099	99.93	UP_t_DOWN_n
TIMM8A	105.08983266501	-1.95040822998959	0.49356007595845297	-3.95171393513152	7.759346174364141e-05	0.0007212152255509389	47	69	85	47	54	73	64	99	425	55	23	143	36.439277827663496	58.8253335479837	41.7367121190193	44.486756152762005	33.740250688685606	43.3438227718254	57.9262619217597	102.571770885193	414.564218844172	49.9296221372077	197.80902661163103	179.704938472218	99.93	UP_t_DOWN_n
DNMT3B	77.60105347285759	-2.11824250832102	0.5365108729071479	-3.94818188276981	7.87469681846169e-05	0.000730348169890491	44	12	37	62	39	51	89	220	258	76	10	32	34.113366476961495	10.230492790953699	18.1677452753378	58.6846570525796	24.367958830717395	30.2813008405903	80.5537079849471	227.93726863376202	251.664866968932	68.9936596805052	86.0039246137524	40.2136925252516	99.93	UP_t_DOWN_n
ZBTB8OS	453.462858712003	-1.46098948169724	0.37005292925529903	-3.94805544341282	7.878856011839659e-05	0.000730348169890491	334	240	521	259	365	428	248	607	534	502	98	1052	258.95146371148104	204.60985581907397	255.82149428246	245.150422203518	228.059101877227	254.125426662209	224.46426494681901	628.899645730425	520.887747912442	455.721278415969	842.838461214774	1322.02514176765	99.93	UP_t_DOWN_n
SRPK3	63.48355740541351	-2.75290196228351	0.6977707614837291	-3.9452813362798196	7.970633958661191e-05	0.000738319745046455	19	2	32	11	49	41	103	6	98	291	18	40	14.730771887778802	1.7050821318256102	15.7126445624543	10.4117939931996	30.6161534026962	24.3437908718471	93.22507778033199	6.21647096273896	95.59363163936192	264.17309167140803	154.80706430475402	50.2671156565645	99.93	UP_t_DOWN_n
DARS1	1264.89389241418	-1.3389426773417399	0.339477589985292	-3.94412684913827	8.00912578606389e-05	0.000740426712717016	992	616	1455	872	1224	1175	1056	1763	1872	890	266	2529	769.101353298769	525.165296602289	714.434307449095	825.371305642733	764.779015610207	697.657421327326	955.783321709035	1826.60638455147	1826.0334533559803	807.952067311179	2287.7043947258103	3178.1383873862897	99.93	UP_t_DOWN_n
PSMA6	3363.20658112861	-2.26685406078556	0.574769202076152	-3.94393793647493	8.01544103962225e-05	0.0007405125535731661	1447	1850	2618	977	1830	1502	2406	1622	5227	1971	244	16368	1121.86457482189	1577.2009719386901	1285.4907332657901	924.756611941456	1143.41960667212	891.813997305229	2177.66540912115	1680.5193169271	5098.65216917291	1789.2960951352102	2098.4957605755603	20569.3037266662	99.93	UP_t_DOWN_n
