baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_1	n_2	n_3	n_4	n_5	n_6	t_7	t_8	t_9	t_10	t_11	t_12	n_1.1	n_2.1	n_3.1	n_4.1	n_5.1	n_6.1	t_7.1	t_8.1	t_9.1	t_10.1	t_11.1	t_12.1	Certeza	DE
RRAS	1173.84486805401	1.62297056850634	0.37673441532803	4.3079965685991	1.64739940358573e-05	0.000202384268106282	2315	2231	4308	2044	2752	1983	697	304	511	1445	44	245	1794.82825895832	1902.01911805147	2115.31477422041	1934.70062928182	1719.50314620857	1177.40822680178	630.853196241664	314.967862112107	498.452507833816	1311.78734524118	378.417268300511	307.886083396457	99.98	DOWN_t_UP_n
SAP30L	516.932082772182	1.07364048520997	0.249234399544763	4.30775401457832	1.64920647686561e-05	0.000202425369977424	925	804	1578	934	821	1058	409	196	427	318	41	294	717.15599979976	685.443016993897	774.829784986029	884.055962695312	512.97677435946	628.18855469303	370.185017593746	203.071384782806	416.515109285791	288.683997084219	352.616090916385	369.463300075749	99.98	DOWN_t_UP_n
FADS3	623.334484217699	1.58992257095169	0.369338110542789	4.30478882510959	1.67145097495163e-05	0.000204789987100357	1065	1177	1865	1053	2152	860	351	374	262	318	62	80	825.698529499183	1003.44083457937	915.752565905541	996.692643167199	1344.61147188984	510.625857311915	317.689342727151	387.493356677395	255.566647852172	288.683997084219	533.224332605265	100.534231313129	99.98	DOWN_t_UP_n
LTBP2	2275.95448803914	1.39753800477825	0.324639710922795	4.30488925956013	1.67069287153429e-05	0.000204789987100357	4705	3556	6912	3082	7697	3369	2381	589	1104	1223	133	1126	3647.80430168418	3031.63603038594	3393.93122549014	2917.1953715492	4809.23536205209	2000.34710846958	2155.03796305797	610.250232842208	1076.89152377404	1110.25323406918	1143.85219736291	1415.01930573229	99.98	DOWN_t_UP_n
PKNOX2	185.09640827911	2.75316597853924	0.639597864397972	4.30452653423208	1.67343235604097e-05	0.000204850174519102	639	302	513	351	643	329	186	4	16	30	6	16	495.41911769951	257.467401905668	251.893333141846	332.230881055733	401.758910978238	195.344077971651	168.348198710114	4.14431397515931	15.6071235329571	27.2343393475678	51.6023547682515	20.1068462626258	99.98	DOWN_t_UP_n
SLC12A8	159.674896750026	-1.42686288559918	0.331640807710572	-4.30243459919574	1.68931543466816e-05	0.000206610491818356	137	69	188	98	140	151	354	187	240	353	8	200	106.216618348721	58.8253335479837	92.3117868044192	92.759619212142	87.4747240077034	89.6564005280223	320.404636254733	193.746678338698	234.106852994356	320.457392989715	68.8031396910019	251.335578282822	99.98	UP_t_DOWN_n
EPHX3	67.9211917672186	-1.58907724320983	0.369417549422055	-4.30157485938581	1.69588460027524e-05	0.000207229560888744	50	28	30	46	60	72	105	54	129	109	16	80	38.7651891783654	23.8711498455586	14.7306042773009	43.5402294261075	37.4891674318729	42.750071774951	95.035273465387	55.9482386646507	125.832433484466	98.9514329628298	137.606279382004	100.534231313129	99.98	UP_t_DOWN_n
TBC1D31	89.5593287139467	-1.5820130838197	0.367812452732256	-4.30114062769731	1.69921175661789e-05	0.000207451723074833	68	43	59	40	58	129	70	151	163	126	15	146	52.7206572825769	36.6592658342507	28.9701884120252	37.8610690661804	36.2395285174771	76.5938785967873	63.3568489769247	156.447852562264	158.997570992	114.384225259785	129.005886920629	183.47497214646	99.98	UP_t_DOWN_n
SPAG4	175.600305059347	-2.27227400472946	0.528403632265899	-4.3002618944641	1.70596379937914e-05	0.000208091254215307	68	68	219	18	157	49	100	449	353	237	13	412	52.7206572825769	57.9727924820709	107.533411224297	17.0374810797812	98.0966547800674	29.0937988468417	90.5097842527495	465.199243711632	344.332162945865	215.151280845786	111.805101997878	517.751291262614	99.98	UP_t_DOWN_n
ANGPTL1	115.3216382989	2.40297166980538	0.559177997113346	4.2973287257551	1.72868737885018e-05	0.000210489507502688	268	256	383	231	173	391	42	81	8	16	0	53	207.781413996038	218.250512873679	188.060714606875	218.647673857192	108.093766095233	232.156639777859	38.0141093861548	83.922357996976	7.80356176647853	14.5249809853695	0	66.603928244948	99.98	DOWN_t_UP_n
COX7B	1579.82476880567	-1.90603235751784	0.44352597801418	-4.29745370508355	1.7277132955286e-05	0.000210489507502688	899	896	1452	549	1127	1008	1142	2491	2954	1395	103	5024	696.99810142701	763.876795057875	712.961247021365	519.643172933326	704.171528262012	598.501004849315	1033.6217361664	2580.87152803046	2881.4651822722	1266.3967796619	885.84042352165	6313.5497264645	99.98	UP_t_DOWN_n
ST6GALNAC5	282.002181062361	1.85758526502198	0.43235555506137	4.29642974000486	1.73570946983021e-05	0.000211157505148282	940	418	809	418	669	626	181	50	224	123	2	122	728.785556553269	356.362165551553	397.235295344548	395.648171741585	418.004216865383	371.688124043324	163.822709497477	51.8039246894914	218.499729461399	111.660791325028	17.2007849227505	153.314702752522	99.98	DOWN_t_UP_n
BEND7	209.444137807726	1.87045173869779	0.435568585462062	4.29427603626089	1.75264304419111e-05	0.000213029035618879	379	356	700	536	387	463	179	20	111	57	16	54	293.84013397201	303.504619464959	343.714099803688	507.338325486817	241.80512993558	274.90671155281	162.012513812422	20.7215698757965	108.27441950989	51.7452447603789	137.606279382004	67.8606061363621	99.98	DOWN_t_UP_n
SSNA1	563.641479348047	-1.05124303642259	0.244828293333186	-4.29379718377546	1.75642937104849e-05	0.000213300658690844	509	429	783	402	538	587	608	1116	803	963	60	536	394.62962583576	365.740117276594	384.468771637554	380.503744115113	336.15286797246	348.531835165226	550.299488256717	1156.26359906945	783.282512310282	874.222293056928	516.023547682515	673.579349797964	99.98	UP_t_DOWN_n
MCM8	274.746994665096	-2.27318112464514	0.52959198063245	-4.29232542745542	1.76811552200453e-05	0.00021453030962927	136	93	172	122	108	195	283	257	1442	533	9	190	105.441314565154	79.286319129891	84.455464523192	115.47626065185	67.4805013773712	115.781444390492	256.142689435281	266.272172903986	1406.59200840775	483.863429075122	77.4035321523772	238.768799368681	99.98	UP_t_DOWN_n
TMEM184A	325.031877275226	-1.92291098049759	0.448566320845634	-4.28679303625055	1.8127103206158e-05	0.000219747167350136	172	81	217	88	240	452	250	795	697	402	91	169	133.352250773577	69.0558263389374	106.551370939143	83.2943519455969	149.956669727492	268.375450587193	226.274460631874	823.682402562913	679.885318904442	364.940147257409	782.635713985147	212.378563648985	99.98	UP_t_DOWN_n
GEMIN2	279.036964843104	-3.04129662372554	0.709618825221816	-4.28581728053068	1.82068591227499e-05	0.000220416465396754	109	68	84	77	86	89	78	58	409	99	35	1643	84.5081124088365	57.9727924820709	41.2456919764426	72.8825579523972	53.7344733190178	52.8438387218145	70.5976317171446	60.09255263981	398.957095311215	89.8733198469739	301.013736148133	2064.72177559339	99.98	UP_t_DOWN_n
OLFML2A	392.876115174974	2.09341625233953	0.488462518856602	4.28572545799382	1.82143816607778e-05	0.000220416465396754	1480	751	740	1104	391	636	358	76	90	183	20	54	1147.44959967962	640.258340500518	363.354905506756	1044.96550622658	244.304407764372	377.625634012068	324.025027624843	78.7419655280269	87.7900698728834	166.129470020164	172.007849227505	67.8606061363621	99.98	DOWN_t_UP_n
SNHG6	762.650324891484	-2.14985783840724	0.501720044559427	-4.28497498100775	1.82759753900449e-05	0.000220967311949821	355	421	604	294	489	285	369	1610	1162	307	110	2473	275.232843166394	358.919788749292	296.576166116325	278.278857636426	305.536714569764	169.219034109181	333.981103892646	1668.08637500162	1133.46734658101	278.698072656778	946.043170751277	3107.7644254671	99.98	UP_t_DOWN_n
RPS7	9415.20988042334	-2.17479677849123	0.507731556803093	-4.28335948268557	1.84092377911204e-05	0.00022238294544335	4807	4330	6921	3873	5352	4482	5260	12774	27863	4631	630	29998	3726.88528760805	3691.50281540245	3398.35040677333	3665.89801233292	3344.03373492306	2661.1919679907	4760.81465169463	13234.8666796713	27178.8301874239	4204.07418395289	5418.2472506664	37697.8233866405	99.98	UP_t_DOWN_n
RXFP1	153.710522323974	3.28581141434358	0.767279841279364	4.28241592906287	1.84874991684578e-05	0.000222938278715058	386	260	554	649	141	291	89	0	12	4	6	23	299.267260456981	221.66067713733	272.025158987491	614.295845598777	88.0995434649013	172.781540090427	80.5537079849471	0	11.7053426497178	3.63124524634238	51.6023547682515	28.9035915025246	99.98	DOWN_t_UP_n
TPRKB	478.077182541133	-2.07237483780299	0.483926763209851	-4.28241419023217	1.84876436848161e-05	0.000222938278715058	273	219	322	285	177	281	281	316	1621	406	61	1255	211.657932913875	186.706493434905	158.108485909697	269.760117096535	110.593043924025	166.844030121684	254.332493750226	327.400804037585	1581.19670293271	368.571392503751	524.62394014389	1577.13075372471	99.98	UP_t_DOWN_n
MRPL18	775.141963543977	-1.45214906576303	0.339341251565216	-4.27931782259	1.87467008986994e-05	0.000225864064201947	585	483	928	458	525	692	584	782	2074	1105	88	1342	453.552713386875	411.777334835886	455.666692311176	433.509240807765	328.030215028888	410.875689837029	528.577140036057	810.213382143645	2023.07338795956	1003.13149930208	756.834536601021	1686.46173027774	99.98	UP_t_DOWN_n
PARD3B	280.932805268585	1.84454574743641	0.43120253811656	4.27767831676772	1.88852663997981e-05	0.000227135395623818	501	468	994	521	595	848	296	24	114	120	9	109	388.427195567221	398.989218847194	488.074021721238	493.140424587	371.767577032739	503.500845349423	267.908961388139	24.8658838509559	111.200755172319	108.937357390271	77.4035321523772	136.977890164138	99.98	DOWN_t_UP_n
RAB36	165.615593814396	2.29213632057214	0.535820999008409	4.27780233476099	1.88747508041797e-05	0.000227135395623818	260	161	559	110	292	1278	102	28	56	105	2	32	201.5789837275	137.259111611962	274.480259700374	104.117939931996	182.447281501781	758.813774005381	92.3199799378045	29.0101978261152	54.6249323653497	95.3201877164875	17.2007849227505	40.2136925252516	99.98	DOWN_t_UP_n
TMSB10	15144.1760502824	-1.56852399780017	0.366705965702815	-4.27733428005186	1.89144667974972e-05	0.000227287740441603	9730	10895	16470	7263	14885	7971	11382	20147	33375	25104	1179	31227	7543.7058141099	9288.43491312003	8087.10174823821	6874.6236156917	9300.43762039046	4732.7891960852	10301.823643648	20873.8734143836	32555.4842445276	22789.6951660448	10139.8627119614	39242.2805151885	99.98	UP_t_DOWN_n
FAT4	392.05941915771	2.42594098525722	0.567509211887259	4.27471648819536	1.91380668010844e-05	0.000229773802894766	899	477	1077	1505	639	860	354	45	28	45	14	145	696.99810142701	406.662088440409	528.828693555104	1424.52272361504	399.259633149446	510.625857311915	320.404636254733	46.6235322205422	27.3124661826748	40.8515090213518	120.405494459253	182.218294255046	99.98	DOWN_t_UP_n
LOC100506098	155.878655575844	-3.89770657010692	0.912088615571484	-4.27338583506467	1.9252688107923e-05	0.000230948257783262	24	9	52	2	24	82	20	13	377	27	14	962	18.6072908056154	7.67286959321526	25.5330474139883	1.89305345330902	14.9956669727492	48.6875817436942	18.1019568505499	13.4690204192678	367.742848245301	24.5109054128111	120.405494459253	1208.92413154038	99.98	UP_t_DOWN_n
KRT10	454.825488807219	-1.78372583346816	0.417550426325815	-4.27188124118047	1.93830800918683e-05	0.000232309679183011	290	196	464	199	376	314	297	342	1467	461	63	966	224.838097234519	167.09804891891	227.833346155588	188.358818604247	234.932115906403	186.437813018536	268.814059230666	354.338844876121	1430.978138928	418.501014640959	541.82472506664	1213.95084310603	99.98	UP_t_DOWN_n
FEN1	268.710935299049	-2.27866585840701	0.533565582095791	-4.27063876469814	1.949138991569e-05	0.000233404300671594	153	123	187	52	162	147	358	176	1186	825	17	90	118.621478885798	104.862551107275	91.8207666618425	49.2193897860345	101.220752066057	87.281396540525	324.025027624843	182.34981490701	1156.87803188044	748.944332058116	146.206671843379	113.10101022727	99.98	UP_t_DOWN_n
ADH1B	2198.18738422429	3.14727385523342	0.736998003144326	4.27039671994483	1.95125565420878e-05	0.000233454407993108	5755	3615	7840	5299	4947	7085	1392	70	106	9	27	792	4461.87327442986	3081.9359532748	3849.59791780131	5015.64512454225	3090.98185475792	4206.72581285456	1259.89619679827	72.5254945652879	103.39719340584	8.17030180427035	232.210596457132	995.288889999977	99.98	DOWN_t_UP_n
TTC28	520.084764390619	1.92572186681755	0.450985672572869	4.27002892537877	1.95447618018533e-05	0.00023363638303485	950	846	1652	1367	1125	1117	544	149	82	143	42	75	736.538594388942	721.249741762235	811.165275536705	1293.90203533671	702.921889347616	663.219863508615	492.373226334957	154.375695574684	79.9865081064049	129.81701755674	361.21648337776	94.2508418560584	99.98	DOWN_t_UP_n
MAP6	165.10400129735	2.37126244414244	0.555379273846864	4.26962718237172	1.95799975392891e-05	0.00023385423646621	322	173	437	161	419	1069	104	25	6	76	6	59	249.647818308673	147.489604402916	214.575802306017	152.390802991376	261.799352565912	634.719815658648	94.1301756228595	25.9019623447457	5.8526713248589	68.9936596805052	51.6023547682515	74.1439955934326	99.98	DOWN_t_UP_n
TIMM9	547.804061623334	-2.33532503588083	0.547293671215677	-4.26704191680763	1.98081952310105e-05	0.000236302150802019	254	256	380	150	325	238	218	443	1024	348	60	2386	196.927161026096	218.250512873679	186.587654179145	141.979008998176	203.066323589311	141.312737256088	197.311329670994	458.982772748893	998.855906109251	315.918336431787	516.023547682515	2998.43344891407	99.98	UP_t_DOWN_n
ZBTB8A	266.122240856756	1.1411848748906	0.267449547384807	4.26691645601726	1.98193336636887e-05	0.000236302150802019	437	478	906	483	371	523	236	139	174	130	23	127	338.807753418913	407.514629506322	444.864249174488	457.172408974128	231.808018620414	310.531771365269	213.603090836489	144.014910636786	169.727468420908	118.015470506127	197.809026611631	159.598092209592	99.98	DOWN_t_UP_n
CIRBP	3877.44195045507	1.14292556453848	0.26788857784709	4.26642141193066	1.98633419978349e-05	0.000236621631234174	8162	4859	8566	6102	9806	9147	3308	2110	1255	2703	374	1945	6328.02948147637	4142.49703927033	4206.07854131199	5775.70608604582	6126.97959728242	5431.0403684094	2994.06366308095	2186.12562189654	1224.18375211632	2453.81397521586	3216.54678055434	2444.23849880045	99.98	DOWN_t_UP_n
PIK3R1	1089.19874473589	1.35667022697747	0.318147095769944	4.26428606457715	2.00542383351045e-05	0.000238688843630027	1988	1498	2454	2734	1410	3241	902	515	629	760	38	536	1541.30392173181	1277.10651673738	1204.96342988322	2587.80407067343	880.995434649013	1924.34698086967	816.398253959801	533.580424301761	613.555043889374	689.936596805052	326.814913532259	673.579349797964	99.98	DOWN_t_UP_n
COMMD5	311.332195018637	-1.04419982624481	0.244942074322447	-4.26304802526579	2.0165715625341e-05	0.000239808038669172	263	239	456	226	312	312	318	374	628	434	37	406	203.904895078202	203.757314753161	223.905185014974	213.915040223919	194.943670645739	185.250311024788	287.821113923743	387.493356677395	612.579598668564	393.990109228148	318.214521070884	510.21122391413	99.98	UP_t_DOWN_n
ALKAL2	105.386851371628	2.84661362584635	0.668121821823109	4.26062064262289	2.03860003800935e-05	0.000242062535059321	216	349	540	44	439	112	81	9	8	6	2	31	167.465617250538	297.53683200357	265.150876991417	41.6471759727984	274.29574170987	66.5001116499238	73.3129252447271	9.32470644410845	7.80356176647853	5.44686786951357	17.2007849227505	38.9570146338375	99.98	DOWN_t_UP_n
E2F1	199.162678034551	-1.8930429931779	0.444316718535378	-4.26057115162811	2.03905154287258e-05	0.000242062535059321	251	100	110	51	89	116	373	133	521	416	42	128	194.601249675394	85.2541065912807	54.0122156834368	48.27286305938	55.6089316906114	68.8751156374211	337.601495262756	137.798439674047	508.206960041914	377.649505619607	361.21648337776	160.854770101006	99.98	UP_t_DOWN_n
ITGA5	1938.20381625084	1.95440347830514	0.458847008846924	4.25937935874645	2.04995303133708e-05	0.0002431467154598	2280	6298	9130	2521	4717	2603	1525	970	391	1414	43	270	1767.69262653346	5369.30363311886	4483.01390172525	2386.19387789602	2947.27337960241	1545.53384486385	1380.27420985443	1004.99613897613	381.399081336638	1283.64519458203	369.816875839135	339.30303068181	99.98	DOWN_t_UP_n
KIF22	592.922453943374	-1.62389432196435	0.381346547025613	-4.25831657485882	2.05972124578993e-05	0.000244094723843743	423	365	607	270	421	464	580	486	898	1019	246	349	327.953500448971	311.177489058174	298.049226544056	255.562216196718	263.048991480308	275.500462549684	524.956748665947	503.534147981856	875.949808287215	925.059726505721	2115.69654549831	438.580584103525	99.98	UP_t_DOWN_n
AGTPBP1	549.048551836186	1.00547796440763	0.236204601302109	4.2568093884065	2.07365005218593e-05	0.000245399246746212	993	1019	1395	711	923	1377	490	283	264	356	48	372	769.876657082337	868.73934616515	684.973098894493	672.980502651356	576.708358993644	817.595122695939	443.497942838473	293.210213742521	257.517538293791	323.180826924472	412.818838146012	467.48417560605	99.98	DOWN_t_UP_n
SRPX	319.811221809929	2.63117039298328	0.618118743869418	4.25673937100205	2.07429929962245e-05	0.000245399246746212	522	1132	849	1219	175	439	186	18	45	74	4	155	404.708575022135	965.076486613297	416.876101047616	1153.81607979185	109.343405009629	260.656687627826	168.348198710114	18.6494128882169	43.8950349364417	67.178037057334	34.401569845501	194.785073169187	99.98	DOWN_t_UP_n
XPO1	2701.10966977717	-1.30712291383032	0.307160241741155	-4.25550815568064	2.08574761048995e-05	0.000246541465188352	1771	1392	2898	2279	2206	3041	1807	3265	5512	3830	596	3256	1373.0630006977	1186.73716375063	1422.97637318727	2157.13441004563	1378.35172257853	1805.59678149481	1635.51180144718	3382.79628222379	5376.6540571037	3476.91732337283	5125.83390697964	4091.74321444435	99.98	UP_t_DOWN_n
HAUS8	100.814591759081	-1.33150248383793	0.312931615007817	-4.25493117339603	2.09113328972534e-05	0.000246859397071687	74	68	136	74	66	82	95	104	215	189	20	96	57.3724799839808	57.9727924820709	66.7787393904309	70.0429777724337	41.2380841750602	48.6875817436942	85.9842950401121	107.752163354142	209.72072247411	171.576337889677	172.007849227505	120.641077575755	99.98	UP_t_DOWN_n
SMAD7	628.039645192061	1.72299198011542	0.404949152884909	4.2548353733811	2.09202878874311e-05	0.000246859397071687	1251	1571	2698	716	1299	1119	671	151	191	446	30	108	969.905033242702	1339.34201454902	1324.77234467193	677.713136284629	811.640474900048	664.407365502364	607.320652335949	156.447852562264	186.310037174675	404.883844967175	258.011773841257	135.721212272724	99.98	DOWN_t_UP_n
PEG3	64.5340781784598	2.01733610628202	0.474198463640509	4.25420211359303	2.09795742963834e-05	0.000247346661966023	124	70	147	173	194	187	38	40	6	18	2	28	96.1376691623462	59.6778746138965	72.1799609587746	163.74912371123	121.214974696389	111.031436415498	34.3937180160448	41.4431397515931	5.8526713248589	16.3406036085407	17.2007849227505	35.1869809595951	99.98	DOWN_t_UP_n
LINC01138	88.3934597339039	-1.66199396782176	0.390716311418996	-4.25371022209377	2.10257360089387e-05	0.000247678485788243	55	49	103	43	64	71	70	277	111	165	8	100	42.6417080962019	41.7745122297275	50.5750746853999	40.7006492461439	39.9884452606644	42.1563207780767	63.3568489769247	286.993742779782	108.27441950989	149.788866411623	68.8031396910019	125.667789141411	99.98	UP_t_DOWN_n
GPR35	101.711350314647	-2.66230824093108	0.626069090668707	-4.25241923073931	2.11473498786976e-05	0.000248897790053472	32	30	48	41	55	35	184	637	59	61	6	49	24.8097210741538	25.5762319773842	23.5689668436815	38.8075957928349	34.3650701458835	20.7812848906012	166.538003025059	659.98200054412	57.5512680277791	55.3764900067213	51.6023547682515	61.5772166792915	99.98	UP_t_DOWN_n
BORA	67.5777133200035	-1.98801455132991	0.46756427255459	-4.2518529922489	2.12009016433541e-05	0.000249314623516843	36	9	46	35	49	65	46	86	186	71	20	81	27.9109362084231	7.67286959321526	22.5869265585281	33.1284354329078	30.6161534026962	38.5938147968308	41.6345007562648	89.1027504659251	181.432811070626	64.4546031225772	172.007849227505	101.790909204543	99.98	UP_t_DOWN_n
TMEM69	277.61420300805	-1.18917206515141	0.279821143170827	-4.24975772622525	2.14001854060442e-05	0.00025144303314264	215	224	312	188	230	315	263	596	312	421	35	373	166.690313466971	190.969198764469	153.19828448393	177.947024611048	143.708475155513	187.031564015411	238.040732584731	617.502782298737	304.338908892663	382.188562177535	301.013736148133	468.740853497464	99.97	UP_t_DOWN_n
FFAR4	32.8618214733505	2.92940258119207	0.689611312734568	4.2479038946967	2.15779916807114e-05	0.000253315671763227	33	60	54	88	133	125	11	0	2	18	2	4	25.5850248577212	51.1524639547684	26.5150876991417	83.2943519455969	83.1009878073182	74.21887460929	9.95607626780245	0	1.95089044161963	16.3406036085407	17.2007849227505	5.02671156565645	99.97	DOWN_t_UP_n
ABHD12	1031.67796636674	-1.21467838528996	0.286056076979392	-4.24629463606002	2.17334796806184e-05	0.000254923332055855	835	741	1454	519	1115	932	1284	1712	2264	1890	109	675	647.378659278702	631.73292984139	713.943287306519	491.247371133691	696.673694775638	553.375929086866	1162.1456298053	1773.76638136818	2208.40797991342	1715.76337889677	937.442778289902	848.257576704526	99.97	UP_t_DOWN_n
KIRREL1	475.794532583217	1.61008889602604	0.379275372684716	4.24517121855017	2.18426567924948e-05	0.000255985509741198	952	606	1056	940	1822	844	466	97	321	202	26	131	738.089201956077	516.639885943161	518.517270560993	889.735123055239	1138.42105101454	501.125841361926	421.775594617813	100.499613897613	313.117915879951	183.37788494029	223.610203995756	164.624803775249	99.97	DOWN_t_UP_n
NQO1	2329.62901039501	-2.88248374199446	0.679329979903644	-4.24312753340182	2.20426082904012e-05	0.00025810880423181	451	412	1353	325	1390	1336	1661	3258	491	376	1594	4148	349.662006388856	351.246919156076	664.350252906272	307.621186162716	868.499045505055	793.251331824091	1503.36751643817	3375.54373276726	478.94360341762	341.337053156184	13709.0255834321	5212.69989358574	99.97	UP_t_DOWN_n
H1-2	681.475666415088	-2.3223087420143	0.54734069030112	-4.24289438582883	2.20655295438123e-05	0.000258157306075564	303	213	515	130	473	463	244	3573	495	606	100	795	234.917046420894	181.591247039428	252.875373426999	123.048474465086	295.539603254598	274.90671155281	220.843873576709	3701.90845831105	482.845384300859	550.13365482087	860.039246137524	999.058923674219	99.97	UP_t_DOWN_n
SNRPD2	1770.33655690479	-1.88428258405862	0.444154518467766	-4.24240327568653	2.21138859143325e-05	0.000258503052435653	1157	981	1558	651	1275	1046	1277	2332	6545	2855	75	2800	897.026477587375	836.342785660463	765.009382134495	616.188899052086	796.644807927299	621.063542730539	1155.80994490761	2416.13504751788	6384.28897020024	2591.80129457687	645.029434603143	3518.69809595951	99.97	UP_t_DOWN_n
PSMG1	393.850452547521	-1.6157408608024	0.380885516958532	-4.24206431818281	2.21473196337977e-05	0.000258673919291264	248	274	453	148	294	323	324	490	1112	281	56	748	192.275338324692	233.596252060109	222.432124587244	140.085955544867	183.696920416177	191.781571990405	293.251700978909	507.678461957015	1084.69508554052	255.094978555552	481.621977837014	939.995062777756	99.97	UP_t_DOWN_n
ANO6	1498.55571212423	1.4212048548664	0.335065793155291	4.24156951828179	2.21962115542183e-05	0.000259024889843666	3285	1806	4494	3352	2812	3167	1178	466	700	671	64	1184	2546.87292901861	1539.68916503853	2206.64452073968	3172.75758774592	1756.99231364044	1880.40940710097	1066.20525849739	482.81257810606	682.811654566871	609.141390073934	550.425117528016	1487.90662343431	99.97	DOWN_t_UP_n
INCENP	218.784545830498	-1.43421856175327	0.338309505601528	-4.23936820575932	2.24149744187358e-05	0.000260692600113673	155	126	215	167	130	230	283	229	395	598	40	120	120.172086452933	107.420174305014	105.56933065399	158.069963351303	81.2265294357246	136.562729281094	256.142689435281	237.26197507787	385.300862219877	542.871164328186	344.01569845501	150.801346969693	99.97	UP_t_DOWN_n
MID1IP1	938.274721740859	1.7956936776066	0.423553865631963	4.2395875077833	2.23930888469759e-05	0.000260692600113673	2636	2541	2860	851	1720	2121	1122	215	363	443	22	256	2043.70077348342	2166.30684848444	1404.31760776936	805.494244382988	1074.68946638036	1259.34586437043	1015.51977931585	222.756876164813	354.086615153963	402.160411032418	189.208634150255	321.709540202013	99.97	DOWN_t_UP_n
S100B	69.9473680810037	-2.21231851413382	0.521832323880052	-4.23951988578297	2.23998351154568e-05	0.000260692600113673	16	36	56	12	80	30	26	130	130	201	8	122	12.4048605370769	30.691478372861	27.4971279842951	11.3583207198541	49.9855565758305	17.8125299062296	23.5325439057149	134.690204192678	126.807878705276	182.470073628705	68.8031396910019	153.314702752522	99.97	UP_t_DOWN_n
SRGAP2B	34.8519654073269	1.56333688578176	0.368722523548674	4.23987357955742	2.23645704558856e-05	0.000260692600113673	50	57	140	50	94	92	25	12	18	18	1	19	38.7651891783654	48.59484075703	68.7428199607377	47.3263363327255	58.7330289766008	54.6250917124374	22.6274460631874	12.4329419254779	17.5580139745767	16.3406036085407	8.60039246137524	23.8768799368681	99.97	DOWN_t_UP_n
RSPH1	312.710000771311	2.9977823506771	0.707540569912938	4.23690524353391	2.26621717244572e-05	0.000263344779962902	743	230	694	95	502	3076	161	59	41	34	0	105	576.05071119051	196.084445159946	340.767978948228	89.9200390321784	313.659367513336	1826.37806638541	145.720752646927	61.1286311335998	39.9932540532024	30.8655845939102	0	131.951178598482	99.97	DOWN_t_UP_n
SOGA3	38.1300308938117	2.85588345724098	0.674377151067167	4.2348461135163	2.28708271873163e-05	0.000265544984243275	75	47	205	79	120	98	31	0	4	11	0	7	58.1477837675481	40.0694300979019	100.659129228223	74.7756114057063	74.9783348637458	58.1875976936834	28.0580331183524	0	3.90178088323926	9.98592442744154	0	8.79674523989879	99.97	DOWN_t_UP_n
GPR89A	76.9688583235081	-1.4367196119733	0.339369624660453	-4.23349500831365	2.30087291820272e-05	0.000266507572386043	48	63	100	30	65	62	52	112	130	125	17	102	37.2145816112308	53.7100871525068	49.1020142576698	28.3958017996353	40.6132647178623	36.8125618062078	47.0650878114298	116.040791304461	126.807878705276	113.476413948199	146.206671843379	128.181144924239	99.97	UP_t_DOWN_n
H2BC21	538.049617060392	-2.45871969312249	0.580781986689113	-4.23346410438624	2.30118926618341e-05	0.000266507572386043	198	122	379	87	308	463	110	2040	182	1187	99	910	153.510149146327	104.010010041362	186.096634036568	82.3478252189423	192.444392816947	274.90671155281	99.5607626780245	2113.60012733125	177.531030187386	1077.5720268521	851.438853676149	1143.57688118684	99.97	UP_t_DOWN_n
SSBP1	246.175856915578	-1.61500812481398	0.381462838000314	-4.23372335108736	2.2985367701999e-05	0.000266507572386043	149	171	270	94	213	187	135	278	599	280	41	498	115.520263751529	145.78452227109	132.575438495708	88.9735123055239	133.086544383149	111.031436415498	122.188208741212	288.029821273572	584.29168726508	254.187167243967	352.616090916385	625.825589924228	99.97	UP_t_DOWN_n
CLDN3	644.677693659195	-2.28395046145703	0.539697983478562	-4.2319047529807	2.31720540770603e-05	0.000267957232970915	272	187	570	78	285	701	1110	2354	1705	436	81	174	210.882629130308	159.425179325695	279.881481268718	73.8290846790518	178.073545301396	416.219448808898	1004.65860520552	2438.92877438125	1663.13410148074	395.805731851319	696.631789371395	218.661953106056	99.97	UP_t_DOWN_n
SEPTIN10	1313.33881840485	1.27556949544362	0.301420106318542	4.23186598605866	2.31760493200275e-05	0.000267957232970915	2418	2447	4458	2557	2210	2011	1006	567	530	570	107	925	1874.68454866575	2086.16798828864	2188.96779560692	2420.26884005558	1380.85100040732	1194.03325471426	910.52842958266	587.456505978832	516.985967029202	517.452447603789	920.241993367151	1162.42704955805	99.97	DOWN_t_UP_n
FAM124B	56.5435117915476	2.49963809128523	0.590754956900842	4.23126046101852	2.32385386888756e-05	0.000268453942315944	155	69	154	278	44	53	32	16	14	10	2	13	120.172086452933	58.8253335479837	75.6171019568115	263.134430009954	27.4920561167068	31.468802834339	28.9631309608799	16.5772559006372	13.6562330913374	9.07811311585595	17.2007849227505	16.3368125883835	99.97	DOWN_t_UP_n
