Gene	t_7	t_8	t_9	t_10	t_11	t_12	n_1	n_2	n_3	n_4	n_5	n_6
SNTB1	2822	743	896	899	266	3038	862	1477	2036	654	1134	2209
SNTB2	533	346	319	373	62	222	747	791	1706	1228	847	917
SNTN	153	0	12	28	4	432	676	174	520	75	426	3125
SNU13	1099	1497	1881	980	142	1663	1420	1425	2169	915	1608	1380
SNUPN	198	319	213	258	27	222	268	230	347	248	256	371
SNW1	838	396	1875	1184	98	1560	989	1259	2006	795	1430	1435
SNX1	1767	1106	1150	1036	136	1197	3183	3260	5397	2661	3276	4097
SNX10	690	1238	977	2480	25	739	295	425	934	202	776	656
SNX11	287	306	466	380	12	422	372	393	691	351	342	408
SNX12	633	345	794	685	30	348	771	699	1221	610	765	864
SNX13	672	565	919	750	148	1467	762	814	1554	867	852	1548
SNX14	1043	748	1957	1025	250	1941	1418	1123	2098	1232	1602	1872
SNX16	144	123	269	210	38	498	148	235	325	206	264	225
SNX17	1293	741	1696	1001	23	1051	1801	1598	2784	1408	2325	1887
SNX18	719	422	538	471	74	717	944	1031	1753	692	896	1057
SNX19	1118	747	692	780	116	604	1380	1342	2628	1379	1492	2222
SNX2	891	693	817	784	26	1091	1452	1246	2403	1019	1670	2065
SNX20	217	160	52	330	10	49	182	116	234	97	209	174
SNX21	291	145	219	154	143	100	562	430	744	508	703	645
SNX22	180	103	17	11	18	37	1037	617	858	339	390	513
SNX24	243	207	297	266	45	378	555	439	838	383	546	689
SNX25	622	143	86	146	138	247	992	1468	2408	573	1143	2124
SNX27	219	143	66	146	12	33	188	244	383	257	210	422
SNX29	493	197	255	239	41	162	538	580	848	446	654	948
SNX3	1392	1640	3908	2295	41	4814	2217	2039	3915	2156	2064	2611
SNX30	841	235	224	515	85	992	1625	2346	2409	853	1946	2602
SNX33	790	501	248	512	38	106	990	1095	1941	1144	1448	1517
SNX4	957	521	895	651	107	974	882	840	1398	596	864	981
SNX5	1903	1704	2823	1520	156	2162	1612	1296	2286	1138	1667	1988
SNX6	874	502	1673	1044	86	7147	831	839	1587	756	860	1013
SNX7	256	45	573	162	2	694	360	198	546	291	234	502
SNX8	421	588	540	662	16	150	370	361	786	360	570	374
SNX9	824	1235	1036	1088	72	722	772	1012	1631	685	1357	757
SOAT1	1568	1024	817	1365	43	1533	629	886	1918	452	1405	1545
SOBP	99	16	340	54	4	155	187	129	211	126	197	260
SOCS1	235	326	622	453	20	66	318	374	450	101	378	116
SOCS2	1553	138	2997	137	6	1644	3890	4484	2911	958	4515	838
SOCS3	9376	3575	1771	1266	45	604	12493	15390	9497	2993	15851	1987
SOCS4	945	380	770	599	48	1480	616	516	1076	542	748	813
SOCS5	466	260	466	349	46	437	682	636	1150	534	474	710
SOCS6	605	294	132	277	48	272	613	513	905	370	578	880
SOD1	1724	2204	5088	3362	371	4507	2090	1875	3156	1365	2435	2613
SOD2	8387	29692	3580	17294	158	6385	4726	34533	13220	2261	17805	4387
SOD3	775	137	281	482	18	48	1316	983	2212	775	2067	1362
SOGA1	566	347	186	333	72	72	886	919	1608	1457	1084	1219
SOGA3	31	0	4	11	0	7	75	47	205	79	120	98
SON	4900	2486	3407	8284	498	2496	5130	5342	8887	4951	6711	7298
SORBS1	627	70	58	166	19	366	1492	2311	5019	1747	3074	2921
SORBS2	1134	172	655	204	60	596	1458	1299	2631	1981	1080	2908
SORBS3	1300	344	343	1438	80	127	2761	2484	4264	2475	3008	2873
SORCS2	369	180	72	23	18	67	296	214	391	147	397	414
SORD	287	588	255	265	10	404	157	81	154	61	99	358
SORL1	1666	854	1683	784	119	1023	774	587	870	292	923	1242
SORT1	1949	535	1698	1154	225	1133	3605	3810	7162	3258	4349	5201
SOS1	966	553	604	902	144	292	925	758	1502	1237	949	1489
SOS2	867	366	558	702	136	978	1099	1018	1741	1078	858	1361
SOSTDC1	64	0	980	0	6	10	1142	527	1248	941	1187	497
SOWAHB	60	56	62	37	20	129	97	70	202	38	167	132
SOWAHC	434	538	212	196	54	196	543	465	1037	594	600	544
SOWAHD	18	13	14	64	0	4	14	14	41	20	24	38
SOX11	6	4	1110	474	0	68	12	4	0	2	4	0
SOX12	154	189	565	490	116	68	155	104	276	226	173	155
SOX13	482	536	415	140	115	74	957	1040	2347	1694	1411	1376
SOX15	23	6	144	247	2	0	19	6	14	13	27	33
SOX17	197	34	8	40	14	38	743	734	1103	499	252	600
SOX18	122	50	73	87	10	14	1018	401	892	946	322	234
SOX2	120	0	613	626	4	402	146	36	106	22	88	718
SOX21	45	0	104	44	4	44	32	2	20	4	10	73
SOX4	2534	2262	5326	4786	382	2434	912	954	810	1280	809	602
SOX5	110	8	24	25	10	12	164	189	340	136	325	286
SOX6	96	184	10	18	22	37	69	77	164	63	179	160
SOX9	131	188	2127	233	0	376	228	46	151	54	360	293
SP1	1247	1937	988	1131	173	565	1697	1632	2471	1737	1726	2308
SP100	1753	2135	1063	2230	87	1665	1950	2375	3642	1980	2344	2500
SP110	892	674	521	1177	28	479	557	702	1011	603	697	641
SP140	310	524	42	291	0	60	76	123	204	60	150	86
SP140L	432	1237	289	648	19	222	439	449	609	408	615	539
SP2	449	270	292	290	18	94	719	540	926	450	699	760
SP2-AS1	14	19	17	12	2	41	18	8	33	14	12	24
SP3	1328	1102	1351	1405	285	1998	1370	1394	2527	1319	1401	1880
SP4	128	128	306	140	29	215	236	234	335	204	173	298
SP6	102	41	228	107	0	12	430	273	460	206	287	174
SPA17	65	61	101	27	11	368	123	106	214	36	143	478
SPAAR	29	0	12	4	2	6	156	151	311	191	111	98
SPACA6	119	119	96	100	14	26	138	164	249	136	274	77
SPACA9	105	62	72	81	4	57	196	86	248	75	222	830
SPAG1	305	256	247	373	24	435	233	316	680	168	568	839
SPAG16	203	186	423	325	30	395	374	235	587	210	366	1249
SPAG17	104	20	39	25	9	111	155	69	221	63	139	1196
SPAG4	100	449	353	237	13	412	68	68	219	18	157	49
SPAG5	371	1934	861	1202	38	319	86	95	102	40	110	120
SPAG6	92	2	18	30	4	563	397	163	539	84	372	3064
SPAG7	572	583	719	587	89	323	869	761	1089	430	1062	1111
SPAG8	45	16	25	33	4	35	195	49	191	67	200	995
SPAG9	1735	1126	957	1014	184	1423	2401	3656	5491	2496	4733	3568
SPARC	11467	6254	18220	18329	743	13622	20509	15196	43932	19091	32528	15094
SPARCL1	5938	1185	1436	1221	68	4295	25071	27624	30497	30860	8204	18966
SPART	806	323	233	638	40	512	1320	1351	2321	965	1649	1540
SPAST	369	374	939	429	56	578	366	300	437	299	322	388
SPATA13	1054	2252	295	584	169	430	1604	1580	3187	1862	2550	2747
SPATA17	24	20	150	27	0	207	101	44	103	19	92	503
SPATA18	215	10	6	108	11	190	523	289	911	189	609	3073
SPATA2	228	146	213	270	12	64	326	258	358	207	302	221
SPATA20	931	961	986	1326	123	263	945	562	825	708	1341	767
SPATA24	27	39	66	31	2	68	18	22	40	20	37	94
SPATA2L	216	142	66	128	0	23	266	235	477	131	399	158
SPATA33	76	94	69	38	2	79	90	82	208	110	140	294
SPATA5	104	128	157	110	2	65	130	172	234	141	153	220
SPATA5L1	109	103	242	103	8	117	109	182	216	133	128	146
SPATA6	135	155	168	160	60	318	419	338	521	218	388	992
SPATA6L	120	232	73	75	89	243	132	224	385	170	206	556
SPATA7	86	59	160	179	50	349	148	107	267	123	131	299
SPATA9	11	33	4	16	3	15	14	21	7	7	17	6
SPATS2	397	394	494	437	81	396	303	240	438	272	352	286
SPATS2L	902	602	2278	2022	62	1242	1102	1079	1828	890	1007	1522
SPC24	37	91	426	160	14	122	18	9	7	8	17	24
SPCS1	821	1062	2173	829	84	2562	1170	1005	1897	677	1341	1334
SPCS2	768	1060	768	638	52	1095	510	532	949	372	584	561
SPCS3	2654	3891	2650	1443	64	3872	2214	2220	4215	1674	2554	2586
SPDEF	833	416	1190	599	62	126	14	10	16	10	38	150
SPDL1	94	274	423	166	32	325	91	96	152	111	96	151
SPDYE3	40	44	57	29	0	6	53	23	51	24	57	34
SPECC1	395	338	409	432	4	321	381	440	681	387	516	499
SPECC1L	441	319	180	447	32	120	761	603	1106	771	680	722
SPEF1	31	4	22	13	0	24	145	41	96	41	128	599
SPEF2	178	143	133	174	24	203	420	166	632	236	596	1597
SPEG	259	168	219	291	2	90	319	202	931	542	650	1036
SPEN	886	741	227	731	71	81	1160	1907	2699	1549	1810	2240
SPG11	891	1239	566	705	95	656	1039	995	1741	1071	1463	2319
SPG21	1544	1344	1197	1191	99	1448	1175	1021	1773	884	1530	1755
SPG7	1020	2455	454	1246	97	254	1498	1201	2060	1335	2534	1626
SPHK1	263	237	192	497	16	85	144	757	652	110	901	65
SPHK2	260	69	217	203	4	20	188	106	224	112	154	299
SPI1	761	643	178	1452	18	71	760	705	1287	514	1261	1204
SPIB	64	112	24	275	6	14	12	15	68	4	36	2
SPICE1	253	176	593	459	58	340	252	281	355	179	333	637
SPIDR	1088	1633	923	845	107	809	1950	2009	2417	865	1616	1944
SPIN1	925	1427	1272	1108	149	1347	1573	1421	2636	1655	1668	2100
SPIN2B	25	42	119	34	17	40	56	38	81	59	49	52
SPIN3	141	231	247	135	50	116	155	106	228	289	195	303
SPIN4	146	64	292	182	24	114	177	94	339	690	140	156
SPINDOC	325	230	490	519	23	62	261	306	653	317	343	239
SPINK1	12200	100725	79	24	179	4538	36	18	14	12	24	16
SPINK5	62	686	29	63	2	206	159	229	310	36	362	190
SPINT1	2303	3196	1850	1532	127	272	2072	2116	2482	1171	2308	2173
SPINT1-AS1	48	168	208	112	11	51	97	58	143	73	116	121
SPINT2	7023	5238	12385	19597	176	6086	5413	3795	5026	2010	4038	4811
SPIRE1	481	795	142	258	83	253	871	1174	1485	441	1463	915
SPIRE2	228	1210	101	177	17	48	101	73	105	60	170	386
SPN	450	158	54	453	2	30	686	470	715	346	754	1059
SPNS1	552	510	415	642	49	89	715	619	882	486	1019	821
SPNS2	660	546	58	130	40	25	970	1087	2456	1054	2504	701
SPNS3	25	33	8	11	6	4	13	9	16	10	33	23
SPOCD1	38	140	50	92	20	38	77	273	198	37	303	124
SPOCK1	14	47	82	66	6	164	32	22	24	5	22	94
SPOCK2	2877	777	561	1180	32	126	11464	8371	14412	6991	10791	6591
SPON1	612	78	434	230	22	801	1237	1266	1445	818	1527	1070
SPON2	1073	866	202	665	15	94	702	868	1037	389	1017	544
SPOP	798	438	754	920	81	879	1205	1236	2416	1127	1370	1831
SPOPL	571	316	317	458	52	863	572	586	999	545	543	837
SPOUT1	247	300	293	330	61	72	297	300	543	263	364	526
SPP1	1132	1049	7390	1089	37	19469	20	70	246	28	148	52
SPPL2A	1006	1156	862	1053	121	1440	1115	1216	2062	1137	1657	1564
SPPL2B	1021	1115	385	1039	80	282	963	815	1354	904	1703	1671
SPPL3	816	717	687	627	141	418	971	716	1148	809	963	1080
SPR	203	430	325	497	14	357	320	236	462	216	295	402
SPRED1	962	333	798	645	173	1447	1554	1710	2785	1401	2029	1584
SPRED2	663	309	727	726	91	284	1781	1672	2284	1113	1300	1421
SPRED3	12	18	43	24	0	20	8	16	18	4	27	0
SPRTN	234	223	236	222	21	400	196	127	272	149	176	270
SPRY1	300	446	1622	296	78	556	985	720	1418	915	640	798
SPRY2	463	363	966	354	48	257	1094	694	1091	658	756	822
SPRY4	963	283	269	235	27	172	2483	3176	4727	1206	3572	1781
SPRYD3	764	236	246	567	20	112	1118	846	1493	784	1010	1529
SPRYD4	154	360	298	185	39	156	170	113	219	112	248	255
SPRYD7	295	226	260	125	22	161	783	498	847	487	717	657
SPSB1	870	498	289	627	50	193	473	1554	2178	331	1806	834
SPSB2	485	300	118	145	29	54	214	146	269	259	190	296
SPSB3	662	1056	1000	632	188	170	1060	806	1465	999	1905	1103
SPTAN1	2991	2125	911	4530	164	368	5712	5273	9307	6503	6296	6255
SPTB	62	4	57	183	77	217	28	55	178	87	56	60
SPTBN1	7479	4674	1713	2680	291	1676	22887	19361	34709	22888	18869	24860
SPTBN2	185	93	485	959	50	72	159	87	337	85	233	503
SPTBN4	8	2	2	22	11	14	28	16	45	8	32	32
SPTBN5	111	220	36	124	46	10	115	131	134	429	162	88
SPTLC1	787	1101	1032	1217	82	2522	1306	1213	1835	959	1436	1495
SPTLC2	1354	473	1183	1125	83	1266	1347	1544	2320	1700	1308	1992
SPTLC3	277	19	386	173	6	97	373	322	373	321	425	499
SPTSSA	2631	2948	2049	2151	259	12192	2346	3318	4749	1295	2469	2144
SPTSSB	4	59	422	20	0	212	2	2	2	6	0	28
SPTY2D1	646	228	432	263	8	425	533	556	745	305	449	586
SQLE	1523	630	1538	338	120	2218	744	894	1278	325	656	1959
SQOR	1378	2665	583	1558	15	1031	1001	1703	2099	575	1522	1381
SRA1	515	586	447	438	26	558	501	450	709	258	859	513
SRBD1	249	201	233	184	19	293	306	272	512	193	217	501
SRC	1162	2316	563	619	254	120	740	682	1017	861	1277	982
SRCAP	1722	1573	392	2105	152	144	1622	1598	2670	1643	1597	2411
SRD5A1	169	172	417	412	20	207	125	132	220	145	142	337
SRD5A2	22	30	18	6	10	76	86	15	86	12	44	691
SRD5A3	286	799	689	1173	50	2229	471	286	377	182	352	507
SREBF1	1385	1106	1112	3449	264	459	1256	1188	1610	746	1512	1386
SREBF2	1479	779	365	686	26	286	2176	2081	3071	1383	1792	2803
SREK1	1327	2130	947	959	584	1041	1258	1356	2088	1401	2239	2248
SREK1IP1	367	940	631	408	214	1154	673	610	921	682	984	682
SRF	1164	474	507	552	53	133	1522	1297	2875	824	1920	1309
SRFBP1	83	87	159	100	14	462	136	304	326	151	156	230
SRGAP1	287	138	70	277	18	101	320	337	423	287	449	389
SRGAP2	552	357	406	986	44	156	1000	1265	2142	997	1274	1144
SRGAP2B	25	12	18	18	1	19	50	57	140	50	94	92
SRGAP2C	85	49	78	53	5	84	220	184	489	197	297	237
SRGAP3	108	54	87	98	12	30	94	68	175	24	153	650
SRGN	3258	2624	1438	2720	33	5546	3991	5471	7274	2134	5013	3408
SRI	1531	1632	1201	829	110	3995	1357	1236	2102	716	1344	2273
SRM	471	810	753	701	78	235	373	443	712	287	445	293
SRP14	2219	2976	4414	2764	196	3300	2856	2870	4626	2020	3338	3346
SRP14-AS1	31	57	42	38	14	83	74	41	120	101	99	133
SRP19	427	700	526	520	88	1588	542	637	994	350	803	646
SRP54	1015	433	1248	1152	230	2896	810	949	1505	567	1001	1179
SRP68	846	1079	1269	1082	42	551	1330	1691	2483	882	1489	1633
SRP72	1049	1032	1644	711	118	2068	1380	1606	2607	1087	1408	1654
SRP9	2465	2968	5869	4487	330	11445	1902	1672	2973	1753	1965	2185
SRPK1	1509	1128	1933	1178	185	678	442	645	871	382	818	628
SRPK2	549	419	548	588	104	918	643	524	824	748	678	895
SRPK3	103	6	98	291	18	40	19	2	32	11	49	41
SRPRA	1106	477	556	390	13	211	928	1204	1901	615	1097	1241
SRPRB	820	867	2099	1031	38	1429	452	598	1024	330	582	574
SRPX	186	18	45	74	4	155	522	1132	849	1219	175	439
SRPX2	78	178	933	524	8	178	84	112	172	46	145	102
SRR	64	47	92	106	15	78	75	70	119	91	108	131
SRRD	142	92	111	85	13	69	190	160	249	155	209	216
SRRM1	1239	1710	997	1613	347	616	1428	1647	2332	1275	1984	1986
SRRM2	10811	18675	7280	5598	1832	881	12485	12033	19464	14035	19449	19758
SRRM3	10	38	12	58	4	8	7	14	20	14	12	14
SRRM5	29	12	4	31	8	0	11	6	37	8	13	20
SRRT	1642	1966	1665	2075	287	410	1567	1618	2352	1491	2518	1667
SRSF1	3231	5488	5379	3366	843	2153	3018	3733	5851	2495	4095	3978
SRSF10	2008	1870	2328	1895	532	1946	1889	1765	2968	1801	3645	3107
SRSF11	3631	7360	3043	4434	1843	2988	4036	3982	5774	4237	7392	6649
SRSF12	37	56	123	12	2	32	4	16	21	4	43	11
SRSF2	3061	5952	5903	3584	579	3186	2933	4002	5095	2230	4887	3423
SRSF3	4254	3997	9070	3603	573	7966	5212	6030	6366	2752	5166	4301
SRSF4	1422	2167	1452	2471	337	458	1772	2217	3320	1397	2933	2070
SRSF5	3838	2613	2905	3183	1285	3101	6673	6216	9537	4568	9383	7831
SRSF6	3961	3782	3542	1798	570	3518	3917	3269	5187	3350	4679	4283
SRSF7	2312	2803	3988	1935	459	3735	2747	3423	4211	1756	3938	2803
SRSF8	1240	647	593	934	129	757	1237	841	1653	881	1038	1252
SRSF9	775	271	893	355	16	444	547	491	938	395	576	540
SRXN1	567	4705	608	894	623	316	386	1036	1269	215	623	370
SS18	1506	1425	935	889	89	531	1392	1861	2684	1032	1964	2220
SS18L1	428	497	664	667	243	363	496	284	569	481	695	478
SS18L2	164	380	486	251	41	837	269	178	308	180	260	240
SSB	1574	1322	1866	1330	123	2241	1186	1317	2023	832	1454	1905
SSBP1	135	278	599	280	41	498	149	171	270	94	213	187
SSBP2	220	100	140	156	54	333	682	465	869	496	667	1065
SSBP3	542	506	1232	742	113	154	934	764	1146	635	1106	1321
SSBP4	401	921	574	560	73	192	758	405	952	489	873	1184
SSC4D	24	20	62	26	0	0	16	30	7	10	22	32
SSC5D	100	69	78	288	10	10	154	181	393	144	471	356
SSH1	1243	519	298	587	76	137	1280	2069	2753	1147	3259	1230
SSH2	751	451	158	678	18	141	1034	783	1454	825	1489	1383
SSH3	442	1652	349	1051	115	111	587	477	954	507	848	673
SSNA1	608	1116	803	963	60	536	509	429	783	402	538	587
SSPN	216	68	300	114	10	417	363	283	547	252	357	499
SSPO	49	28	18	106	4	3	110	101	63	105	110	57
SSR1	2554	2547	4124	2239	238	3215	2003	2202	3687	1692	2048	2302
SSR2	3176	6613	6564	3837	259	4790	2786	2553	4423	1915	3128	2368
SSR3	1222	1128	1750	827	102	2414	649	1065	1747	513	950	1024
SSR4	4002	7508	3339	4300	164	10618	1674	1444	3586	824	2223	1470
SSR4P1	4	10	17	22	6	2	33	8	17	16	16	24
SSRP1	1854	929	3466	2042	89	772	1816	2142	3159	1446	2306	2306
SSTR1	30	6	2	4	18	18	298	175	277	815	79	232
SSTR2	75	80	20	56	0	24	34	38	44	12	50	6
SSU72	1321	917	2037	1006	402	1211	1530	1436	2556	925	1773	1488
SSX2IP	192	54	909	370	10	399	294	201	299	164	259	302
ST13	2085	2112	3305	1670	72	4113	2722	2739	4423	2363	2596	3599
ST14	4302	1800	2168	3685	129	622	1190	1543	2019	550	1321	1574
ST20	18	13	24	39	24	38	49	38	20	14	37	21
ST20-AS1	34	23	13	37	0	8	61	46	73	21	68	38
ST3GAL1	1738	1285	402	896	61	232	1430	2459	4256	751	3325	1365
ST3GAL2	243	245	102	255	18	107	464	434	691	549	688	430
ST3GAL3	296	56	104	95	32	46	256	163	297	245	217	332
ST3GAL4	293	342	1044	473	14	262	452	399	492	356	507	406
ST3GAL5	1101	378	721	451	259	409	994	924	1689	710	907	1197
ST3GAL6	62	287	103	137	47	191	209	114	253	254	160	361
ST6GAL1	1370	1894	1204	1235	49	804	1703	1419	3227	2683	1338	2689
ST6GAL2	8	4	6	10	8	52	34	7	113	44	62	94
ST6GALNAC1	1588	16	412	1390	35	318	347	119	380	95	298	1200
ST6GALNAC2	205	126	184	127	8	70	634	470	983	409	569	1281
ST6GALNAC3	103	31	30	20	6	888	178	374	558	220	92	367
ST6GALNAC4	805	437	56	229	20	249	586	432	818	291	553	486
ST6GALNAC5	181	50	224	123	2	122	940	418	809	418	669	626
ST6GALNAC6	911	449	208	505	8	325	2178	1395	3061	1375	2272	2152
ST7	338	177	230	245	68	289	575	602	915	281	690	706
ST7-AS1	17	45	26	36	4	30	103	52	41	42	124	50
ST7L	74	71	192	56	35	250	119	162	290	109	153	189
ST8SIA1	41	30	18	36	0	26	175	29	62	24	81	40
ST8SIA4	315	257	534	724	4	3086	171	251	600	204	596	589
ST8SIA6	154	110	218	4	2	100	841	785	1040	1798	260	835
STAB1	1116	954	350	710	50	198	936	1048	2117	1117	1644	1291
STAC	68	2	33	24	4	34	202	115	222	207	257	382
STAC2	29	0	0	0	0	0	24	21	135	18	6	42
STAC3	136	47	34	174	17	30	135	80	93	109	181	77
STAG1	686	524	646	709	118	448	906	829	1248	958	829	1148
STAG2	1624	1362	2505	1018	143	1662	1830	1769	2693	1854	1650	2539
STAG3	20	90	8	38	4	48	17	14	33	23	29	76
STAG3L2	30	36	20	33	1	5	41	33	73	77	79	108
STAG3L4	95	117	177	67	27	144	120	63	198	82	158	205
STAG3L5P-PVRIG2P-PILRB	193	656	129	425	18	40	280	143	317	380	317	358
STAM	543	176	317	180	42	304	544	547	951	353	703	640
STAM2	597	646	401	478	84	989	840	666	1114	615	746	1357
STAMBP	575	541	1630	566	91	973	625	458	708	482	614	791
STAMBPL1	69	126	207	38	27	72	102	71	79	68	129	90
STAP1	48	46	10	18	2	159	52	6	68	20	56	10
STAP2	231	293	1168	330	38	341	229	235	259	129	397	294
STARD10	2256	3445	1162	1250	150	984	805	512	979	568	775	1125
STARD13	495	128	87	157	14	149	1706	1485	3519	1127	1583	1769
STARD3	741	950	961	1042	61	162	1369	1382	3493	1760	1955	1488
STARD3NL	623	296	1277	623	30	1337	879	946	1369	622	829	1026
STARD4	277	83	41	42	4	259	256	424	739	280	495	566
STARD4-AS1	47	20	28	37	7	21	72	27	65	133	189	89
STARD5	18	22	6	26	2	11	27	17	35	19	45	46
STARD7	2203	1400	1783	1971	182	2076	4482	2502	4692	3051	2888	3880
STARD7-AS1	30	38	25	50	4	19	47	28	70	29	47	58
STARD8	486	133	14	112	11	36	1763	1665	3236	1210	1552	1677
STARD9	475	125	47	95	40	48	1157	577	1272	1718	2085	1726
STAT1	8586	6594	3598	12758	192	3031	2583	3097	4360	2826	3420	2383
STAT2	3392	2476	1387	3860	237	677	1521	1327	2503	2110	2904	2225
STAT3	5198	2589	2346	3966	92	1974	4474	8979	10874	3226	7132	5724
STAT4	147	262	56	159	13	119	137	172	282	55	331	88
STAT5A	582	394	574	893	26	88	616	948	1201	550	1292	881
STAT5B	886	817	1337	947	92	333	1507	1348	2853	1891	1950	1667
STAT6	3293	6856	948	3505	422	828	3610	3123	5615	3419	4958	5040
STAU1	1998	1405	2563	2137	136	1002	1839	2196	3484	1500	2323	2576
STAU2	809	435	1062	666	58	1695	473	506	884	483	540	773
STBD1	18	37	24	26	4	9	68	29	74	32	58	46
STC1	328	161	327	520	6	148	641	1685	739	79	265	773
STC2	179	141	599	151	16	116	200	959	493	91	357	281
STEAP1	35	205	370	458	4	572	23	47	133	4	153	59
STEAP2	226	696	239	932	6	306	241	313	599	47	543	425
STEAP3	365	88	149	653	42	65	138	217	446	77	238	803
STEAP4	3160	2074	774	161	401	8704	5848	10608	3913	474	8717	2917
STIL	110	167	234	343	18	262	32	42	46	54	36	82
STIM1	1074	486	342	871	73	218	990	733	1426	564	1171	1204
STIM2	707	354	275	474	41	703	645	624	1133	727	889	1198
STIMATE	292	113	88	195	24	122	545	374	801	395	632	1206
STIP1	1482	1503	2086	1902	106	726	1126	1667	2442	998	1262	1666
STK10	652	445	200	487	12	84	838	1007	1519	802	1293	759
STK11	517	310	204	619	36	114	729	647	1227	624	1032	824
STK11IP	414	931	141	354	36	128	414	325	581	308	640	773
STK16	380	457	314	353	4	370	391	248	661	240	503	448
STK17A	309	100	273	139	9	513	251	535	802	132	433	259
STK17B	1606	978	718	1034	67	1741	1857	946	1717	407	1567	1276
STK24	1205	456	1290	628	5	275	723	1130	1745	645	908	1182
STK25	1027	2419	718	1477	111	375	1281	1174	2208	1384	1895	1467
STK26	182	113	590	77	0	611	102	134	233	49	137	172
STK3	569	474	595	426	121	997	474	447	643	401	492	524
STK31	23	103	151	61	31	357	20	23	78	15	51	44
STK32A	114	0	45	118	60	312	54	155	107	63	194	67
STK32A-AS1	2	0	0	14	8	34	0	21	2	2	14	4
STK32B	80	13	12	6	0	59	24	4	22	70	31	49
STK32C	186	111	113	211	14	34	150	91	216	149	170	206
STK33	247	0	67	32	40	146	375	181	439	142	326	1421
STK35	841	303	524	1523	213	153	829	754	1400	485	1138	1055
STK36	412	1040	447	692	83	162	446	264	470	362	564	1041
STK38	782	1169	1084	1897	356	629	1028	750	1337	833	1239	1324
STK38L	609	1087	1345	402	66	1189	551	599	1318	745	759	819
STK39	684	447	893	864	158	1131	362	314	641	229	412	569
STK4	804	892	774	631	92	368	730	887	1734	1054	1134	1218
STK40	1157	515	376	633	38	141	1067	1757	2802	817	1853	1245
STMN1	1415	1767	14244	6135	175	8140	1085	710	1206	710	1224	846
STMN3	131	235	1008	426	23	120	175	193	588	223	455	227
STMND1	44	0	57	18	0	104	120	49	113	12	70	608
STMP1	605	616	1880	894	80	1562	688	555	808	361	758	663
STN1	524	342	382	194	25	485	793	791	1443	713	1169	950
STOM	5079	3081	1751	3887	160	9164	11818	17000	24918	10926	16505	12523
STOML1	156	159	147	252	6	84	309	336	551	199	411	250
STOML2	757	901	1923	808	37	1236	635	548	997	483	694	729
STOML3	24	2	2	0	0	87	138	38	142	14	103	958
STON1	205	51	82	140	14	149	380	378	691	399	621	540
STON2	273	102	260	351	22	232	254	223	325	187	314	303
STOX1	74	18	66	98	8	211	89	47	144	61	40	603
STOX2	209	100	56	49	21	36	251	193	281	338	268	442
STPG1	99	60	107	121	16	62	253	249	480	140	213	633
STRADA	366	751	345	610	55	171	441	364	639	395	682	543
STRADB	175	380	244	234	78	177	253	132	269	250	216	309
STRAP	1546	617	2771	1145	57	2845	1430	1568	2575	824	1638	1452
STRBP	428	482	633	487	80	737	330	241	510	248	320	991
STRIP1	399	309	398	322	59	117	556	500	870	593	778	735
STRIP2	65	166	34	122	2	50	28	77	78	29	109	52
STRN	675	325	913	803	64	699	826	801	1357	1011	812	1277
STRN3	684	665	638	566	195	1519	599	638	1177	564	790	665
STRN4	1085	610	920	2374	72	180	1312	1150	1971	1101	1355	1298
STS	684	172	346	502	10	487	462	670	976	683	714	684
STT3A	1921	1975	2075	1105	139	1461	1151	1335	2233	1026	1340	1802
STT3B	2808	2904	3199	2475	322	3621	3277	2905	4655	2137	3937	3805
STUB1	233	177	400	190	17	76	398	309	632	328	395	392
STUM	354	535	2	6	4	49	72	20	101	88	58	122
STX10	397	778	988	544	92	252	516	351	740	460	583	703
STX11	450	154	38	284	16	92	1090	1242	1531	579	1162	1074
STX12	1457	679	745	977	80	1912	2084	3824	4980	1434	3096	2262
STX16	827	4158	1380	1587	435	542	1249	1019	1946	1420	1979	1962
STX17	465	485	393	618	62	478	718	582	1197	812	894	1177
STX17-AS1	2	6	14	20	3	20	12	2	12	8	6	6
STX18	573	485	362	524	72	613	455	383	778	345	592	580
STX18-AS1	12	10	8	16	2	4	7	13	21	13	9	26
STX19	42	28	137	93	6	247	44	37	40	44	64	84
STX1A	84	65	204	554	26	59	55	57	148	52	130	55
STX2	395	331	82	206	41	278	693	708	1540	1112	1349	1336
STX3	855	935	699	997	105	495	922	1487	2542	959	1511	1459
STX4	627	601	458	1365	69	204	696	880	1167	591	1261	712
STX5	555	483	604	630	21	394	696	810	1261	524	863	767
STX6	768	564	1167	1273	230	588	658	892	1118	661	696	966
STX7	1019	2029	1224	1214	129	1857	1639	1332	2588	1762	1657	2806
STX8	200	233	777	288	12	953	367	322	556	279	518	459
STXBP1	1357	234	68	155	111	409	925	1046	1534	637	1110	1057
STXBP2	1110	1013	710	1349	128	448	1255	1199	1745	560	1797	1667
STXBP3	606	364	578	502	128	1168	856	861	1381	797	925	1136
STXBP4	128	162	217	102	12	219	202	238	436	326	218	486
STXBP5	261	332	265	474	22	387	449	336	578	372	450	558
STXBP5-AS1	16	14	16	18	4	55	34	24	53	38	38	67
STXBP6	235	18	12	24	5	545	1220	1095	2783	2254	1064	1602
STYK1	135	125	113	108	4	162	16	22	55	10	52	73
STYX	373	305	660	326	40	853	359	322	568	288	347	473
