Gene	t_7	t_8	t_9	t_10	t_11	t_12	n_1	n_2	n_3	n_4	n_5	n_6
LOC105374421	43	2	7	2	5	13	47	26	35	43	73	68
LOC105374454	15	24	6	15	2	2	14	11	15	17	16	10
LOC105374476	10	20	2	8	2	14	12	16	43	19	16	24
LOC105374584	38	92	0	8	11	9	29	16	43	27	48	50
LOC105374746	20	27	25	28	0	8	23	16	19	34	46	98
LOC105374748	12	8	2	2	4	4	9	6	12	14	8	24
LOC105374809	0	20	0	79	0	0	0	61	0	0	44	55
LOC105374879	1	250	6	14	12	2	13	2	20	19	12	23
LOC105374925	174	7	2	4	6	12	151	178	311	70	333	182
LOC105374937	4	64	18	25	4	0	10	9	46	11	67	39
LOC105374968	0	16	15	7	0	22	4	8	9	9	13	6
LOC105374985	23	57	45	54	14	144	25	16	50	17	38	43
LOC105374997	38	8	116	220	32	89	89	108	150	79	161	219
LOC105375080	18	0	6	0	0	0	20	14	35	25	35	32
LOC105375170	12	6	77	17	21	57	26	31	45	15	66	54
LOC105375172	180	337	517	89	532	81	100	310	497	119	1056	407
LOC105375304	4	0	61	13	4	4	29	17	45	70	73	39
LOC105375384	27	7	3	4	8	0	36	27	31	25	128	62
LOC105375521	3	19	6	3	3	17	14	15	14	32	17	12
LOC105375532	52	41	13	53	2	9	31	50	116	20	40	102
LOC105375566	19	34	4	23	0	22	4	2	17	5	18	4
LOC105375751	19	30	15	2	4	27	5	15	18	7	14	14
LOC105375785	13	27	51	101	0	29	10	14	12	14	10	13
LOC105375902	18	15	6	7	8	57	11	8	17	8	36	18
LOC105375914	33	57	6	14	0	21	7	98	33	4	92	41
LOC105376037	22	32	8	14	2	10	26	9	26	25	18	22
LOC105376114	11	8	8	19	2	72	26	15	26	18	12	44
LOC105376156	32	67	78	59	0	52	31	15	50	26	20	51
LOC105376220	53	27	33	48	0	23	46	39	104	47	39	65
LOC105376384	28	125	44	17	2	18	45	42	119	80	141	54
LOC105376486	91	30	14	40	2	14	83	91	132	37	100	26
LOC105376506	17	19	11	19	2	4	17	10	9	6	17	26
LOC105376526	210	117	102	57	4	1126	360	218	373	115	115	370
LOC105376579	3	17	10	8	2	8	10	16	22	15	23	16
LOC105376689	22	20	93	91	16	36	58	22	72	88	221	82
LOC105376748	20	12	22	26	2	19	20	12	30	35	27	48
LOC105376794	135	164	31	130	9	24	180	111	266	316	218	603
LOC105376805	56	271	45	126	13	228	52	43	85	87	57	104
LOC105376825	18	20	4	14	0	12	42	4	14	4	26	191
LOC105377016	8	22	2	16	6	0	6	55	23	18	27	60
LOC105377023	43	75	53	38	2	47	85	104	229	93	84	176
LOC105377290	13	17	4	2	6	44	20	2	22	14	20	24
LOC105377291	17	15	6	18	1	11	26	48	73	38	43	49
LOC105377347	39	46	10	21	0	4	30	48	49	10	73	40
LOC105377449	29	26	15	17	12	29	44	13	36	32	37	39
LOC105377481	15	13	1	0	16	10	24	69	79	21	48	85
LOC105377548	14	18	4	2	2	0	57	24	79	77	216	103
LOC105377576	20	21	8	8	6	2	31	24	47	43	32	43
LOC105377659	13	25	5	57	1	28	12	7	23	10	10	7
LOC105377663	13	24	12	17	0	48	49	26	120	76	103	70
